,Line Type,Plan Type,Data Type,Promo Type,Model,Promo Value,Brand,Week,Date,Retailer,Type
1338,Smartphones with contract,NULL,O2,One Time Cost,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1339,Smartphones with contract,NULL,O2,Monthly Cost,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1340,Smartphones with contract,NULL,O2,Free Merchandise,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1341,Smartphones with contract,NULL,O2,Bundle Deal,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1342,Smartphones with contract,NULL,O2,Free Subscription,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1343,Smartphones with contract,NULL,O2,Switcher,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1344,Smartphones with contract,NULL,Telekom,Free Merchandise,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1345,Smartphones with contract,NULL,Telekom,Bundle Deal,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1346,Smartphones with contract,NULL,Telekom,Free Subscription,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1347,Smartphones with contract,NULL,Telekom,Switcher,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1348,Smartphones without Contract,NULL,NULL,WoW Price Change,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1349,Smartphones without Contract,NULL,NULL,Bundle Deal,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1350,Smartphones without Contract,NULL,NULL,Free Subscription,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1351,Smartphones without Contract,NULL,NULL,CashBack / Deduction,Samsung S21 FE,50,Samsung,20,15-May,Mediamarkt,Mediamarkt
1352,Smartphones without Contract,NULL,NULL,Gift Card,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1353,Smartphones without Contract,NULL,NULL,Trade-In,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1354,Smartphones with contract,NULL,Vodafone,One Time Cost,Samsung S21 FE,"Tariff
Not
Available",Samsung,20,15-May,Mediamarkt,Mediamarkt
1355,Smartphones with contract,NULL,Vodafone,Monthly Cost,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1356,Smartphones with contract,NULL,Vodafone,Free Merchandise,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1357,Smartphones with contract,NULL,Vodafone,Bundle Deal,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1358,Smartphones with contract,NULL,Vodafone,Free Subscription,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1359,Smartphones with contract,NULL,Vodafone,Switcher,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1360,Smartphones with contract,NULL,O2,One Time Cost,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1361,Smartphones with contract,NULL,O2,Monthly Cost,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1362,Smartphones with contract,NULL,O2,Free Merchandise,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1363,Smartphones with contract,NULL,O2,Bundle Deal,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1364,Smartphones with contract,NULL,O2,Free Subscription,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1365,Smartphones with contract,NULL,O2,Switcher,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1366,Smartphones with contract,NULL,Telekom,Free Merchandise,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1367,Smartphones with contract,NULL,Telekom,Bundle Deal,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1368,Smartphones with contract,NULL,Telekom,Free Subscription,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1369,Smartphones with contract,NULL,Telekom,Switcher,Samsung S21 FE,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1370,Smartphones without Contract,NULL,NULL,WoW Price Change,Apple iPhone 14,10,Apple,20,15-May,Mediamarkt,Mediamarkt
1371,Smartphones without Contract,NULL,NULL,Bundle Deal,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1372,Smartphones without Contract,NULL,NULL,Free Subscription,Apple iPhone 14,118,Apple,20,15-May,Mediamarkt,Mediamarkt
1373,Smartphones without Contract,NULL,NULL,CashBack / Deduction,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1374,Smartphones without Contract,NULL,NULL,Gift Card,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1375,Smartphones without Contract,NULL,NULL,Trade-In,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1376,Smartphones with contract,NULL,Vodafone,One Time Cost,Apple iPhone 14,5,Apple,20,15-May,Mediamarkt,Mediamarkt
1377,Smartphones with contract,NULL,Vodafone,Monthly Cost,Apple iPhone 14,90,Apple,20,15-May,Mediamarkt,Mediamarkt
1378,Smartphones with contract,NULL,Vodafone,Free Merchandise,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1379,Smartphones with contract,NULL,Vodafone,Bundle Deal,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1380,Smartphones with contract,NULL,Vodafone,Free Subscription,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1381,Smartphones with contract,NULL,Vodafone,Switcher,Apple iPhone 14,50,Apple,20,15-May,Mediamarkt,Mediamarkt
1382,Smartphones with contract,NULL,O2,One Time Cost,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1383,Smartphones with contract,NULL,O2,Monthly Cost,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1384,Smartphones with contract,NULL,O2,Free Merchandise,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1385,Smartphones with contract,NULL,O2,Bundle Deal,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1386,Smartphones with contract,NULL,O2,Free Subscription,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1387,Smartphones with contract,NULL,O2,Switcher,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1388,Smartphones with contract,NULL,Telekom,Free Merchandise,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1389,Smartphones with contract,NULL,Telekom,Bundle Deal,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
1390,Smartphones with contract,NULL,Telekom,Free Subscription,Apple iPhone 14,0,Apple,20,15-May,Mediamarkt,Mediamarkt
